Reporting_Period,County,Facility_Name,Youth_in_Facility,Youth_Tested,Youth_Confirmed_Positive,Youth_Confirmed_at_Intake_(Optional),Youth_Confirmed_in_First_14_Days_(Optional),Youth_Confirmed_In_Custody_(Optional),Youth_Hospitalized,Estimated_Youth_Resolved,Youth_Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
8/09/20 - 8/15/20,Butte,Butte Juvenile Detention/Camp Condor,12,13,0,,,,,<11,0,,,,,
10/04/20 - 10/10/20,Butte,Butte Juvenile Detention/Camp Condor,10,<11,0,,,,0,0,0,,,,,
10/11/20 - 10/17/20,Butte,Butte Juvenile Detention/Camp Condor,14,<11,0,,,,0,0,0,,,,,
10/18/20 - 10/24/20,Butte,Butte Juvenile Detention/Camp Condor,15,<11,0,,,,0,0,0,,,,,
10/25/20 - 10/31/20,Butte,Butte Juvenile Detention/Camp Condor,14,<11,0,,,,0,0,0,,,,,
11/01/20 - 11/07/20,Butte,Butte Juvenile Detention/Camp Condor,11,<11,0,,,,0,0,0,,,,,
7/19/20 - 7/25/20,Butte,Butte Juvenile Detention/Camp Condor,18,<11,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Butte,Butte Juvenile Detention/Camp Condor,18,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Butte,Butte Juvenile Detention/Camp Condor,14,16,<11,,,,0,0,0,,,,,
8/16/20 - 8/22/20,Butte,Butte Juvenile Detention/Camp Condor,12,12,0,,,,0,0,0,,,,,
8/23/20 - 8/29/20,Butte,Butte Juvenile Detention/Camp Condor,14,15,0,,,,0,0,0,,,,,
8/30/20 - 9/05/20,Butte,Butte Juvenile Detention/Camp Condor,18,<11,0,,,,0,0,0,,,,,
9/06/20 - 9/12/20,Butte,Butte Juvenile Detention/Camp Condor,16,<11,0,,,,0,0,0,,,,,
9/13/20 - 9/19/20,Butte,Butte Juvenile Detention/Camp Condor,15,<11,0,,,,0,0,0,,,,,
9/20/20 - 9/26/20,Butte,Butte Juvenile Detention/Camp Condor,14,<11,0,,,,0,0,0,,,,,
9/27/20 - 10/03/20,Butte,Butte Juvenile Detention/Camp Condor,16,<11,0,,,,0,0,0,,,,,
10/04/20 - 10/10/20,Butte,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Butte,,,,,,,,,,,,<11,0,0,
10/18/20 - 10/24/20,Butte,,,,,,,,,,,,<11,0,0,
10/25/20 - 10/31/20,Butte,,,,,,,,,,,,<11,0,0,
11/01/20 - 11/07/20,Butte,,,,,,,,,,,,<11,0,0,
7/19/20 - 7/25/20,Butte,,,,,,,,,,,,<11,0,0,
7/26/20 - 8/01/20,Butte,,,,,,,,,,,,<11,0,0,
8/02/20 - 8/08/20,Butte,,,,,,,,,,,,53,<11,<11,
8/09/20 - 8/15/20,Butte,,,,,,,,,,,,48,<11,<11,
8/16/20 - 8/22/20,Butte,,,,,,,,,,,,48,0,<11,
8/23/20 - 8/29/20,Butte,,,,,,,,,,,,44,0,0,
8/30/20 - 9/05/20,Butte,,,,,,,,,,,,<11,0,0,
9/06/20 - 9/12/20,Butte,,,,,,,,,,,,<11,0,0,
9/13/20 - 9/19/20,Butte,,,,,,,,,,,,<11,0,0,
9/20/20 - 9/26/20,Butte,,,,,,,,,,,,<11,0,0,
9/27/20 - 10/03/20,Butte,,,,,,,,,,,,<11,0,0,
10/04/20 - 10/10/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,47,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,50,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,50,<11,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,54,<11,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,47,<11,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,47,<11,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,46,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,47,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,51,<11,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,54,<11,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,50,<11,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,55,<11,<11,<11,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,55,<11,0,0,0,0,0,<11,0,,,,,
9/13/20 - 9/19/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,54,<11,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,49,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Contra Costa,Contra Costa Juvenile Hall/YOTP,50,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,14,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,14,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,14,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,16,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,16,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,15,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,15,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,13,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,12,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,12,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,12,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,14,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,13,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,15,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,15,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Contra Costa,Orin Allen Youth Rehabilitation Facility,14,0,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Contra Costa,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Contra Costa,,,,,,,,,,,,45,<11,<11,
10/18/20 - 10/24/20,Contra Costa,,,,,,,,,,,,No Data Reported,,,
10/25/20 - 10/31/20,Contra Costa,,,,,,,,,,,,45,0,0,
11/01/20 - 11/07/20,Contra Costa,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Contra Costa,,,,,,,,,,,,<11,0,0,
7/26/20 - 8/01/20,Contra Costa,,,,,,,,,,,,<11,0,0,
8/02/20 - 8/08/20,Contra Costa,,,,,,,,,,,,<11,0,0,
8/09/20 - 8/15/20,Contra Costa,,,,,,,,,,,,<11,0,0,
8/16/20 - 8/22/20,Contra Costa,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Contra Costa,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Contra Costa,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Contra Costa,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Contra Costa,,,,,,,,,,,,64,0,0,
9/20/20 - 9/26/20,Contra Costa,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Contra Costa,,,,,,,,,,,,70,0,0,
10/04/20 - 10/10/20,Del Norte,Del Norte Juvenile Hall,4,0,0,,,,0,0,0,,,,,
10/11/20 - 10/17/20,Del Norte,Del Norte Juvenile Hall,5,0,0,,,,0,0,0,,,,,
10/18/20 - 10/24/20,Del Norte,Del Norte Juvenile Hall,6,0,0,,,,0,0,0,,,,,
10/25/20 - 10/31/20,Del Norte,Del Norte Juvenile Hall,5,0,0,,,,0,0,0,,,,,
11/01/20 - 11/07/20,Del Norte,Del Norte Juvenile Hall,7,0,0,,,,0,0,0,,,,,
7/19/20 - 7/25/20,Del Norte,Del Norte Juvenile Hall,6,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Del Norte,Del Norte Juvenile Hall,6,0,0,,,,0,0,0,,,,,
8/02/20 - 8/08/20,Del Norte,Del Norte Juvenile Hall,7,0,0,,,,0,0,0,,,,,
8/09/20 - 8/15/20,Del Norte,Del Norte Juvenile Hall,8,0,0,,,,0,0,0,,,,,
8/16/20 - 8/22/20,Del Norte,Del Norte Juvenile Hall,5,0,0,,,,0,0,0,,,,,
8/23/20 - 8/29/20,Del Norte,Del Norte Juvenile Hall,6,<11,0,,,,0,0,0,,,,,
8/30/20 - 9/05/20,Del Norte,Del Norte Juvenile Hall,8,0,0,,,,0,0,0,,,,,
9/06/20 - 9/12/20,Del Norte,Del Norte Juvenile Hall,8,0,0,,,,0,0,0,,,,,
9/27/20 - 10/03/20,Del Norte,Del Norte Juvenile Hall,5,0,0,,,,0,0,0,,,,,
9/13/20 - 9/19/20,Del Norte,No Data Reported,,,,,,,,,,,,,,
9/20/20 - 9/26/20,Del Norte,No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,Del Norte,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Del Norte,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Del Norte,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Del Norte,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Del Norte,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Del Norte,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Del Norte,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Del Norte,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Del Norte,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Del Norte,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Del Norte,,,,,,,,,,,,<11,0,0,
9/06/20 - 9/12/20,Del Norte,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Del Norte,,,,,,,,,,,,No Data Reported,,,
9/20/20 - 9/26/20,Del Norte,,,,,,,,,,,,No Data Reported,,,
9/27/20 - 10/03/20,Del Norte,,,,,,,,,,,,0,0,0,
10/04/20 - 10/10/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,11,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,10,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,11,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,9,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,9,<11,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,10,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,11,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,10,0,0,0,,0,0,0,0,,,,,
8/09/20 - 8/15/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,10,0,0,,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,9,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,10,<11,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,11,<11,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,10,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,9,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,8,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,El Dorado,So Lake Tahoe Juvenile Trtmnt Cntr,14,0,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,El Dorado,South Tahoe Challenge Camp,1,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,El Dorado,South Tahoe Challenge Camp,1,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,El Dorado,South Tahoe Challenge Camp,1,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,El Dorado,South Tahoe Challenge Camp,1,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,El Dorado,South Tahoe Challenge Camp,2,0,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,El Dorado,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,El Dorado,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,El Dorado,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,El Dorado,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,El Dorado,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,El Dorado,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,El Dorado,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,El Dorado,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,El Dorado,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,El Dorado,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,El Dorado,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,El Dorado,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,El Dorado,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,El Dorado,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,El Dorado,,,,,,,,,,,,0,0,0,
9/20/20 - 9/26/20,El Dorado,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,El Dorado,,,,,,,,,,,,<11,0,0,
10/04/20 - 10/10/20,Fresno,Fresno Co. Juvenile Justice Campus,120,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Fresno,Fresno Co. Juvenile Justice Campus,116,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Fresno,Fresno Co. Juvenile Justice Campus,112,43,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Fresno,Fresno Co. Juvenile Justice Campus,110,26,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Fresno,Fresno Co. Juvenile Justice Campus,115,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Fresno,Fresno Co. Juvenile Justice Campus,128,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Fresno,Fresno Co. Juvenile Justice Campus,122,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Fresno,Fresno Co. Juvenile Justice Campus,120,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Fresno,Fresno Co. Juvenile Justice Campus,109,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Fresno,Fresno Co. Juvenile Justice Campus,115,<11,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Fresno,Fresno Co. Juvenile Justice Campus,110,<11,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Fresno,Fresno Co. Juvenile Justice Campus,110,<11,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Fresno,Fresno Co. Juvenile Justice Campus,116,<11,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Fresno,Fresno Co. Juvenile Justice Campus,124,<11,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Fresno,Fresno Co. Juvenile Justice Campus,122,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Fresno,Fresno Co. Juvenile Justice Campus,124,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Fresno,,,,,,,,,,,,<11,<11,<11,
10/11/20 - 10/17/20,Fresno,,,,,,,,,,,,<11,<11,<11,
10/18/20 - 10/24/20,Fresno,,,,,,,,,,,,23,0,<11,
10/25/20 - 10/31/20,Fresno,,,,,,,,,,,,<11,0,<11,
11/01/20 - 11/07/20,Fresno,,,,,,,,,,,,<11,0,<11,
7/19/20 - 7/25/20,Fresno,,,,,,,,,,,,<11,<11,0,
7/26/20 - 8/01/20,Fresno,,,,,,,,,,,,<11,0,<11,
8/02/20 - 8/08/20,Fresno,,,,,,,,,,,,<11,<11,<11,
8/09/20 - 8/15/20,Fresno,,,,,,,,,,,,<11,0,<11,
8/16/20 - 8/22/20,Fresno,,,,,,,,,,,,<11,0,<11,
8/23/20 - 8/29/20,Fresno,,,,,,,,,,,,<11,0,<11,
8/30/20 - 9/05/20,Fresno,,,,,,,,,,,,<11,0,<11,
9/06/20 - 9/12/20,Fresno,,,,,,,,,,,,<11,0,<11,
9/13/20 - 9/19/20,Fresno,,,,,,,,,,,,<11,0,<11,
9/20/20 - 9/26/20,Fresno,,,,,,,,,,,,<11,0,<11,
9/27/20 - 10/03/20,Fresno,,,,,,,,,,,,<11,0,<11,
10/04/20 - 10/10/20,Humboldt,Humboldt County Juvenile Hall,6,0,0,,,,0,0,0,,,,,
10/11/20 - 10/17/20,Humboldt,Humboldt County Juvenile Hall,6,0,0,,,,0,0,0,,,,,
10/18/20 - 10/24/20,Humboldt,Humboldt County Juvenile Hall,4,0,0,,,,0,0,0,,,,,
10/25/20 - 10/31/20,Humboldt,Humboldt County Juvenile Hall,4,0,0,,,,0,0,0,,,,,
11/01/20 - 11/07/20,Humboldt,Humboldt County Juvenile Hall,6,0,0,,,,0,0,0,,,,,
7/19/20 - 7/25/20,Humboldt,Humboldt County Juvenile Hall,8,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Humboldt,Humboldt County Juvenile Hall,8,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Humboldt,Humboldt County Juvenile Hall,8,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Humboldt,Humboldt County Juvenile Hall,8,0,0,,,,0,0,0,,,,,
8/23/20 - 8/29/20,Humboldt,Humboldt County Juvenile Hall,8,0,0,,,,0,0,0,,,,,
8/30/20 - 9/05/20,Humboldt,Humboldt County Juvenile Hall,9,0,0,,,,0,0,0,,,,,
9/06/20 - 9/12/20,Humboldt,Humboldt County Juvenile Hall,6,0,0,,,,0,0,0,,,,,
9/13/20 - 9/19/20,Humboldt,Humboldt County Juvenile Hall,6,0,0,,,,0,0,0,,,,,
9/20/20 - 9/26/20,Humboldt,Humboldt County Juvenile Hall,5,0,0,,,,0,0,0,,,,,
9/27/20 - 10/03/20,Humboldt,Humboldt County Juvenile Hall,7,0,0,,,,0,0,0,,,,,
8/09/20 - 8/15/20,Humboldt,Humboldt County Juvenile Hall - No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,Humboldt,Humboldt Regional Center,6,0,0,,,,0,0,0,,,,,
10/11/20 - 10/17/20,Humboldt,Humboldt Regional Center,5,0,0,,,,0,0,0,,,,,
10/18/20 - 10/24/20,Humboldt,Humboldt Regional Center,6,0,0,,,,0,0,0,,,,,
10/25/20 - 10/31/20,Humboldt,Humboldt Regional Center,6,0,0,,,,0,0,0,,,,,
11/01/20 - 11/07/20,Humboldt,Humboldt Regional Center,6,0,0,,,,0,0,0,,,,,
7/19/20 - 7/25/20,Humboldt,Humboldt Regional Center,5,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Humboldt,Humboldt Regional Center,4,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Humboldt,Humboldt Regional Center,4,0,0,0,0,0,0,0,0,,,,,
