Reporting_Period,County,Facility_Name,Number_of_Incarcerated_in_the_Facility,Total_Number_Tested,Total_Confirmed_Positive,Confirmed_at_Intake_(Optional),Confirmed_in_First_14 Days_(Optional),Confirmed_In_Custody_(Optional),Hospitalized,Estimated_Resolved,Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
10/18/20 - 10/24/20,Contra Costa,Martinez Detention Facility,396,182,<11,<11,0,0,0,<11,0,,,,,
10/25/20 - 10/31/20,Contra Costa,Martinez Detention Facility,392,236,<11,0,0,0,0,<11,0,,,,,
11/01/20 - 11/07/20,Contra Costa,Martinez Detention Facility,389,196,0,0,0,0,0,<11,0,,,,,
7/19/20 - 7/25/20,Contra Costa,Martinez Detention Facility,420,120,<11,<11,<11,0,0,0,0,,,,,
7/26/20 - 8/01/20,Contra Costa,Martinez Detention Facility,414,189,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Contra Costa,Martinez Detention Facility,381,178,<11,<11,<11,0,0,0,0,,,,,
8/09/20 - 8/15/20,Contra Costa,Martinez Detention Facility,368,180,<11,<11,0,0,0,<11,0,,,,,
8/16/20 - 8/22/20,Contra Costa,Martinez Detention Facility,384,230,<11,<11,0,0,0,<11,0,,,,,
8/23/20 - 8/29/20,Contra Costa,Martinez Detention Facility,395,189,<11,<11,0,0,0,<11,0,,,,,
8/30/20 - 9/05/20,Contra Costa,Martinez Detention Facility,387,239,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Contra Costa,Martinez Detention Facility,381,195,<11,<11,0,0,0,<11,0,,,,,
9/13/20 - 9/19/20,Contra Costa,Martinez Detention Facility,382,216,<11,<11,0,0,0,<11,0,,,,,
9/20/20 - 9/26/20,Contra Costa,Martinez Detention Facility,372,213,0,0,0,0,0,<11,0,,,,,
9/27/20 - 10/03/20,Contra Costa,Martinez Detention Facility,375,210,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Contra Costa,West County Detention Facility,372,32,0,U,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Contra Costa,West County Detention Facility,377,67,<11,U,0,<11,0,0,0,,,,,
10/18/20 - 10/24/20,Contra Costa,West County Detention Facility,348,28,0,U,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Contra Costa,West County Detention Facility,364,49,0,U,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Contra Costa,West County Detention Facility,385,19,0,U,0,0,0,<11,0,,,,,
7/19/20 - 7/25/20,Contra Costa,West County Detention Facility,374,11,<11,<11,<11,0,0,0,0,,,,,
7/26/20 - 8/01/20,Contra Costa,West County Detention Facility,386,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Contra Costa,West County Detention Facility,429,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Contra Costa,West County Detention Facility,441,<11,0,U,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Contra Costa,West County Detention Facility,439,<11,0,N/A,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Contra Costa,West County Detention Facility,446,<11,<11,U,<11,0,0,0,0,,,,,
8/30/20 - 9/05/20,Contra Costa,West County Detention Facility,445,<11,0,U,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Contra Costa,West County Detention Facility,410,27,0,U,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Contra Costa,West County Detention Facility,378,<11,0,U,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Contra Costa,West County Detention Facility,364,54,0,N/A,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Contra Costa,West County Detention Facility,374,48,0,U,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Contra Costa,,,,,,,,,,,,64,0,0,
10/11/20 - 10/17/20,Contra Costa,,,,,,,,,,,,301,<11,0,
10/18/20 - 10/24/20,Contra Costa,,,,,,,,,,,,81,<11,0,
10/25/20 - 10/31/20,Contra Costa,,,,,,,,,,,,166,0,<11,
11/01/20 - 11/07/20,Contra Costa,,,,,,,,,,,,159,0,<11,
7/19/20 - 7/25/20,Contra Costa,,,,,,,,,,,,23,<11,<11,
7/26/20 - 8/01/20,Contra Costa,,,,,,,,,,,,13,0,<11,
8/02/20 - 8/08/20,Contra Costa,,,,,,,,,,,,<11,0,0,
8/09/20 - 8/15/20,Contra Costa,,,,,,,,,,,,<11,0,0,
8/16/20 - 8/22/20,Contra Costa,,,,,,,,,,,,24,<11,0,
8/23/20 - 8/29/20,Contra Costa,,,,,,,,,,,,60,<11,<11,
8/30/20 - 9/05/20,Contra Costa,,,,,,,,,,,,50,<11,<11,
9/06/20 - 9/12/20,Contra Costa,,,,,,,,,,,,41,0,0,
9/13/20 - 9/19/20,Contra Costa,,,,,,,,,,,,75,0,0,
9/20/20 - 9/26/20,Contra Costa,,,,,,,,,,,,46,0,0,
9/27/20 - 10/03/20,Contra Costa,,,,,,,,,,,,126,0,0,
10/04/20 - 10/10/20,Del Norte,Del Norte County Jail,102,0,0,,,,0,0,0,,,,,
10/11/20 - 10/17/20,Del Norte,Del Norte County Jail,104,0,0,,,,0,0,0,,,,,
10/18/20 - 10/24/20,Del Norte,Del Norte County Jail,101,0,0,,,,0,0,0,,,,,
10/25/20 - 10/31/20,Del Norte,Del Norte County Jail,104,0,0,,,,0,0,0,,,,,
11/01/20 - 11/07/20,Del Norte,Del Norte County Jail,107,0,0,,,,0,0,0,,,,,
7/19/20 - 7/25/20,Del Norte,Del Norte County Jail,86,0,0,,,,0,0,0,,,,,
7/26/20 - 8/01/20,Del Norte,Del Norte County Jail,93,0,0,,,,0,0,0,,,,,
8/09/20 - 8/15/20,Del Norte,Del Norte County Jail,91,0,0,,,,0,0,0,,,,,
8/16/20 - 8/22/20,Del Norte,Del Norte County Jail,91,<11,0,,,,0,0,0,,,,,
8/23/20 - 8/29/20,Del Norte,Del Norte County Jail,92,0,0,,,,0,0,0,,,,,
8/30/20 - 9/05/20,Del Norte,Del Norte County Jail,91,0,0,,,,0,0,0,,,,,
9/06/20 - 9/12/20,Del Norte,Del Norte County Jail,93,0,0,,,,0,0,0,,,,,
9/13/20 - 9/19/20,Del Norte,Del Norte County Jail,100,0,0,,,,0,0,0,,,,,
9/20/20 - 9/26/20,Del Norte,Del Norte County Jail,98,0,0,,,,0,0,0,,,,,
9/27/20 - 10/03/20,Del Norte,Del Norte County Jail,99,0,0,,,,0,0,0,,,,,
8/02/20 - 8/08/20,Del Norte,No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,Del Norte,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Del Norte,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Del Norte,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Del Norte,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Del Norte,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Del Norte,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Del Norte,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Del Norte,,,,,,,,,,,,No Data Reported,,,
8/09/20 - 8/15/20,Del Norte,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Del Norte,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Del Norte,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Del Norte,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Del Norte,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Del Norte,,,,,,,,,,,,0,0,0,
9/20/20 - 9/26/20,Del Norte,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Del Norte,,,,,,,,,,,,0,0,0,
10/04/20 - 10/10/20,El Dorado,El Dorado County Jail,225,12,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,El Dorado,El Dorado County Jail,223,24,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,El Dorado,El Dorado County Jail,231,70,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,El Dorado,El Dorado County Jail,193,24,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,El Dorado,El Dorado County Jail,204,0,0,0,0,0,0,0,0,Currently do not have a lab to send test to,,,,
7/19/20 - 7/25/20,El Dorado,El Dorado County Jail,222,34,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,El Dorado,El Dorado County Jail,227,20,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,El Dorado,El Dorado County Jail,225,19,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,El Dorado,El Dorado County Jail,219,23,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,El Dorado,El Dorado County Jail,216,26,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,El Dorado,El Dorado County Jail,227,25,<11,0,<11,<11,0,0,0,,,,,
9/06/20 - 9/12/20,El Dorado,El Dorado County Jail,221,30,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,El Dorado,El Dorado County Jail,222,17,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,El Dorado,El Dorado County Jail,228,26,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,El Dorado,El Dorado County Jail,227,15,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,El Dorado,No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,El Dorado,South Lake Tahoe Jail,119,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,El Dorado,South Lake Tahoe Jail,118,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,El Dorado,South Lake Tahoe Jail,120,26,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,El Dorado,South Lake Tahoe Jail,110,<11,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,El Dorado,South Lake Tahoe Jail,113,0,0,0,0,0,0,0,0,Currently do not have a lab to send test to,,,,
7/19/20 - 7/25/20,El Dorado,South Lake Tahoe Jail,111,<11,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,El Dorado,South Lake Tahoe Jail,109,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,El Dorado,South Lake Tahoe Jail,113,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,El Dorado,South Lake Tahoe Jail,108,<11,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,El Dorado,South Lake Tahoe Jail,111,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,El Dorado,South Lake Tahoe Jail,108,<11,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,El Dorado,South Lake Tahoe Jail,110,<11,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,El Dorado,South Lake Tahoe Jail,109,<11,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,El Dorado,South Lake Tahoe Jail,109,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,El Dorado,South Lake Tahoe Jail,111,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,El Dorado,,,,,,,,,,,,<11,0,0,
10/11/20 - 10/17/20,El Dorado,,,,,,,,,,,,<11,0,0,
10/18/20 - 10/24/20,El Dorado,,,,,,,,,,,,<11,0,0,
10/25/20 - 10/31/20,El Dorado,,,,,,,,,,,,<11,0,0,
11/01/20 - 11/07/20,El Dorado,,,,,,,,,,,,<11,0,0,
7/19/20 - 7/25/20,El Dorado,,,,,,,,,,,,<11,0,0,
7/19/20 - 7/25/20,El Dorado,,,,,,,,,,,,<11,0,0,
7/26/20 - 8/01/20,El Dorado,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,El Dorado,,,,,,,,,,,,<11,0,0,
8/09/20 - 8/15/20,El Dorado,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,El Dorado,,,,,,,,,,,,No Data Reported,,,
8/23/20 - 8/29/20,El Dorado,,,,,,,,,,,,<11,<11,<11,
8/30/20 - 9/05/20,El Dorado,,,,,,,,,,,,<11,<11,<11,
9/06/20 - 9/12/20,El Dorado,,,,,,,,,,,,<11,0,0,
9/13/20 - 9/19/20,El Dorado,,,,,,,,,,,,<11,0,0,
9/20/20 - 9/26/20,El Dorado,,,,,,,,,,,,<11,0,0,
9/27/20 - 10/03/20,El Dorado,,,,,,,,,,,,<11,0,0,
10/04/20 - 10/10/20,Fresno,Fresno County Main Jail/North Annex/South Annex,2209,598,<11,,,,0,<11,0,,,,,
10/11/20 - 10/17/20,Fresno,Fresno County Main Jail/North Annex/South Annex,2344,511,<11,,,<11,0,<11,0,,,,,
10/18/20 - 10/24/20,Fresno,Fresno County Main Jail/North Annex/South Annex,2380,764,<11,,,,0,<11,0,,,,,
10/25/20 - 10/31/20,Fresno,Fresno County Main Jail/North Annex/South Annex,2424,674,21,,,30,0,<11,0,,,,,
